,Movie,Screen,Sales,Audience,Genre,Rate,month,year,AgeRate,Genre_1
261,침묵,634,3873542364,487.897,드라마,15세이상관람가,11,2017,1,6
262,해어화,572,3763852759,485.083,사극,15세이상관람가,4,2016,1,11
263,계춘할망,526,3589317348,480.987,가족,15세이상관람가,5,2016,1,1
264,소녀괴담,455,3546340054,480.528,미스터리,15세이상관람가,7,2014,1,9
265,조선미녀삼총사,388,3471341321,480.361,코미디,12세이상관람가,1,2014,0,17
266,넛잡: 땅콩 도둑들,382,3280608100,478.392,애니메이션,전체관람가,1,2014,2,13
267,"로봇, 소리",609,3519595560,476.665,드라마,12세이상관람가,1,2016,0,6
268,변산,763,3886052473,474.137,드라마,15세이상관람가,7,2018,1,6
269,위험한 상견례 2,429,3575384754,472.693,멜로/로맨스,15세이상관람가,4,2015,1,7
270,나를 기억해,545,1227953892,140.849,미스터리,청소년관람불가,4,2018,3,9
271,마담 뺑덕,536,3685882590,465.749,멜로/로맨스,청소년관람불가,10,2014,3,7
272,언니,530,1746373250,197.134,액션,청소년관람불가,1,2019,3,14
273,동네사람들,731,3797676112,459.02,액션,15세이상관람가,11,2018,1,14
274,노브레싱,584,2991824739,451.669,드라마,15세이상관람가,10,2013,1,6
275,원더풀 고스트,351,3720931600,450.374,코미디,12세이상관람가,9,2018,0,17
276,반드시 잡는다,565,3324033772,446.379,스릴러,15세이상관람가,11,2017,1,12
277,뽀로로 극장판 컴퓨터 왕국 대모험,544,3290582700,445.014,애니메이션,전체관람가,12,2015,2,13
278,감쪽같은 그녀,761,3377895790,436.257,드라마,전체관람가,12,2019,2,6
279,원라인,613,3310122433,433.825,범죄,15세이상관람가,3,2017,1,10
280,"협녀, 칼의 기억",572,3360045489,431.31,사극,15세이상관람가,8,2015,1,11
281,몬스터,527,4136202515,526.282,스릴러,청소년관람불가,3,2014,3,12
282,오피스,425,3354086230,428.429,스릴러,15세이상관람가,9,2015,1,12
283,나를 잊지 말아요,559,3398915000,425.799,멜로/로맨스,15세이상관람가,1,2016,1,7
284,흥부: 글로 세상을 바꾼 자,627,3381050200,416.303,사극,12세이상관람가,2,2018,0,11
285,우는 남자,508,4883740800,599.05,액션,청소년관람불가,6,2014,3,14
286,극장판 공룡메카드: 타이니소어의 섬,763,3140214420,410.131,애니메이션,전체관람가,1,2019,2,13
287,넛잡 2,526,3038945100,407.727,애니메이션,전체관람가,10,2017,2,13
288,비밀은 없다,502,2027801239,250.65,스릴러,청소년관람불가,6,2016,3,12
289,내 심장을 쏴라,452,2856859132,387.409,드라마,15세이상관람가,1,2015,1,6
290,나의 독재자,654,2906692546,385.934,드라마,15세이상관람가,10,2014,1,6
291,보통사람,621,2956397623,383.336,드라마,15세이상관람가,3,2017,1,6
292,소수의견,398,2891431205,383.332,드라마,15세이상관람가,6,2015,1,6
293,대장 김창수,748,2871905115,380.581,드라마,12세이상관람가,10,2017,0,6
294,경성학교: 사라진 소녀들,489,2749027700,356.342,미스터리,15세이상관람가,6,2015,1,9
295,석조저택 살인사건,539,2815742886,351.83,스릴러,15세이상관람가,5,2017,1,12
296,싱글라이더,576,2685519021,351.276,드라마,15세이상관람가,2,2017,1,6
297,7호실,629,2677284639,347.79,코미디,15세이상관람가,11,2017,1,17
298,치외법권,446,2664941005,346.483,액션,15세이상관람가,8,2015,1,14
299,러브 유어셀프 인 서울,224,3209682900,342.366,공연,전체관람가,1,2019,2,2
